0,film,year,awards,nominations,awards_ratio
138,It Happened One Night,1934,5,5,1
139,The King and I,1956,5,9,0.556
140,Lawrence of Arabia,1962,7,10,0.7
141,The Life of Emile Zola,1937,3,10,0.3
142,The Lion in Winter,1968,3,7,0.429
143,The Lost Weekend,1945,4,7,0.571
144,Love Is a Many-Splendored Thing,1955,3,8,0.375
145,A Man for All Seasons,1966,6,8,0.75
146,Marty,1955,4,8,0.5
147,Mary Poppins,1964,5,13,0.385
148,Miracle on 34th Street,1947,3,4,0.75
149,Mrs. Miniver,1942,6,12,0.5
150,My Fair Lady,1964,8,12,0.667
151,On the Waterfront,1954,8,12,0.667
152,A Place in the Sun,1951,6,9,0.667
153,Roman Holiday,1953,3,10,0.3
154,The Rose Tattoo,1955,3,8,0.375
155,Sayonara,1957,4,10,0.4
156,The Song of Bernadette,1943,4,12,0.333
157,The Sound of Music,1965,5,10,0.5
158,Spartacus,1960,4,6,0.667
159,The Story of Louis Pasteur,1936,3,4,0.75
160,A Streetcar Named Desire,1951,4,12,0.333
161,Sunset Boulevard,1950,3,11,0.273
162,The Thief of Bagdad,1940,3,4,0.75
163,To Kill a Mockingbird,1962,3,8,0.375
164,Tom Jones,1963,4,10,0.4
165,The Treasure of the Sierra Madre,1948,3,4,0.75
166,West Side Story,1961,10,11,0.909
167,Who's Afraid of Virginia Woolf?,1966,5,13,0.385
168,Wilson,1944,5,10,0.5
169,Yankee Doodle Dandy,1942,3,8,0.375
170,Zorba the Greek,1964,3,7,0.429
